Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Guarani;3128402;guaraniense;FERNANDO EDUARDO PINHEIRO BELLOTTI;264.194;7714;29.2;97.6;0.677;27.03;43288236.55;47942869.59;19461.62
Guarará;3128501;guararense;JOSE MAURÍCIO DE SALES;88.655;3149;35.52;99.3;0.652;;31325693.14;27995957.74;15349.17
GuardaMor;3128600;guardamorense;JOSÉ DIAS DE OLIVEIRA;2068.808;6539;3.16;97.8;0.69;13.33;77424208.42;71146324.02;114474.42
Guaxupé;3128709;guaxupeano;HEBER HAMILTON QUINTELLA;286.398;50911;177.76;96.7;0.751;7.37;270577155.89;251978322.4;53726.8
Guidoval;3128808;guidovalense;LUCIANA RODRIGUES PALMEIRA;158.375;7131;45.03;97.9;0.683;13.33;38258716.02;39973191.92;17600.19
Guimarânia;3128907;guimaranense;ADÍLIO ALEX DOS REIS;366.833;8478;23.11;97.7;0.693;9.71;50536090.69;45631593.78;40063.15
Guiricema;3129004;guiricemense;JOSE OSCAR FERRAZ;293.578;7778;26.49;99.5;0.674;12.82;41830732.01;44470445.05;13793.57
Gurinhatã;3129103;gurinhantense;WENDER LUCIANO DE ARAUJO SILVA;1849.137;5192;2.81;97.1;0.68;;48961644.06;51916408.44;32779.01
Heliodora;3129202;heliodorense;ALEX LEOPOLDINO DE LIMA;153.95;6134;39.84;97;0.657;;38820157.94;34677051.26;20150.08
Iapu;3129301;iapuense;JOSE PEREIRA VIANA;340.994;12030;35.28;97;0.654;8.77;59104068.21;47966914.04;15915.1
Ibertioga;3129400;ibertiogano;RICARDO MARCELO PIRES DE OLIVEIRA;346.24;5198;15.01;99;0.657;;39421096.84;38099761.37;20716.39
Ibiá;3129509;ibiaense;MARLENE APARECIDA DE SOUZA SILVA;2704.132;22229;8.22;97.9;0.718;4.07;152793453.27;136898612.5;60160.3
Ibiaí;3129608;ibiaiense;SANDRA MARIA FONSECA CARDOSO;874.76;6286;7.19;97;0.614;;38498206.61;36179093.66;13560.18
Ibiracatu;3129657;ibiracatuense;ARLIS SOARES COUTINHO;353.257;5081;14.38;98;0.591;28.17;34928316.22;32050667.05;9600.19
Ibiraci;3129707;ibiraciense;ISMAEL SILVA CÂNDIDO;562.095;10948;19.48;93.4;0.706;;89263529.16;86170403.57;51550.46
Ibirité;3129806;ibiritenense;WILLIAM PARREIRA DUARTE;72.395;170537;2355.65;97.5;0.704;13.42;665672531.14;684005621.9;17407.52
Ibitiúra de Minas;3129905;ibitiurense;ALEXANDRE DE CASSIO BORGES;68.316;3365;49.26;92.4;0.674;32.26;27954251.45;27441790.63;22201.2
Ibituruna;3130002;ibiturunense;FRANCISCO ANTONIO PEREIRA;153.106;2698;17.62;98.7;0.675;;29530696.56;24785896.57;19766.09
Icaraí de Minas;3130051;icaraiense;GONÇALO ANTÔNIO MENDES DE MAGALHÃES;625.664;10677;17.07;95.4;0.624;18.35;51352351.26;48169847.97;9134.97
Igarapé;3130101;igarapeense;ARNALDO DE OLIVEIRA CHAVES;110.942;45847;413.25;96.5;0.698;3.5;444773627.37;251301791.8;21707.59
Igaratinga;3130200;igaratinguense;FABIO ALVES COSTA FONSECA;218.343;10830;49.6;93.9;0.651;21.28;79013277.66;75637689.86;51874.24
Iguatama;3130309;iguatamense;LUCAS VIEIRA LOPES;628.2;6826;10.87;97.7;0.707;18.52;52373611.93;45048558.47;74348.83
Ijaci;3130408;ijaciense;FABIANO DA SILVA MORETI;105.246;7003;66.54;98.6;0.714;50.63;53048406.77;53728255.74;74228.52
Ilicínea;3130507;ilicineaense;NIRLEI CRISTIANI;376.341;12741;33.85;97.9;0.68;6.9;60845972.82;60125413.11;21212.04
Imbé de Minas;3130556;imbeense;JOAO BATISTA DA CRUZ;196.735;6986;35.51;97.6;0.553;12.82;38724698.27;35820917.5;14503.11
Inconfidentes;3130606;inconfidentino;ROSÂNGELA MARIA DANTAS;149.611;7301;48.8;95.7;0.692;13.33;40907381.74;39673082.62;17947.26
Indaiabira;3130655;indaiabirense;VANDERLUCIO DE OLIVEIRA;1004.149;6346;6.32;97.8;0.61;46.15;40737218.6;45394536.71;11914.84
Indianópolis;3130705;indianopolense;LINDOMAR AMARO BORGES;830.03;6171;7.43;98.1;0.674;;83696304.14;103268377.5;124934.02
Ingaí;3130804;ingaiense;GIULLIANO RIBEIRO PINTO;305.591;2580;8.44;98.7;0.697;;29286126.33;26013918.75;41544.77
Inhapim;3130903;inhapinhense;MÁRCIO ELIAS DE LIMA E SANTOS;858.024;22692;26.45;97.9;0.658;;105736969.32;92720863.61;16852.46
Inhaúma;3131000;inhaumense;GERALDO CUSTÓDIO SILVA JUNIOR;244.996;6239;25.47;99.4;0.702;;41323534.1;37910326.22;22951.75
Inimutaba;3131109;inimutabense;EMERSOMM DANEZZI;527.06;7371;13.99;98.3;0.664;14.93;38054222.44;35924198.12;11931.24
Ipaba;3131158;ipabense;GILBERTO PEREIRA SOARES JUNIOR;113.246;17136;151.32;98.6;0.665;8.89;93891684.52;96915675.8;9527.36
