Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Morro do Chapéu do Piauí;2206670;morrochapeuense;MARCOS HENRIQUE FORTES REBELO;328.408;6425;19.56;98.8;0.55;;34108918.98;32542109.68;9150.19
Murici dos Portelas;2206696;muriciense;FRANCISCA DAS CHAGAS CORREIA DE SOUSA;475.72;9797;20.59;96.1;0.53;;44947622.01;40166041.17;8091.22
Nazaré do Piauí;2206704;nazarenodopiauí;RAIMUNDO NONATO COSTA;1315.841;6665;5.07;99.3;0.576;;31829760.18;30618883.21;9175.58
Nazária;2206720;nazariense;OSVALDO BONFIM DE CARVALHO;362.376;10262;28.32;97.1;0.602;;46111315.9;40866184.79;10984.42
Nossa Senhora de Nazaré;2206753;nazareno;JOSÉ HENRIQUE DE OLIVEIRA ALVES;356.872;5228;14.65;95.5;0.586;;43216775.56;41774634.8;9750.53
Nossa Senhora dos Remédios;2206803;remediense;JOSE FERNANDO OLIVEIRA DE BRITO;357.896;8525;23.82;96.6;0.533;14.49;67678999.18;63217595.98;8975.73
Novo Oriente do Piauí;2206902;novoorientino;FRANCISCO AFONSO RIBEIRO SOBREIRA;525.906;6097;11.59;97.7;0.562;18.52;30699362.36;26695069.87;8884
Novo Santo Antônio;2206951;santantoniense;ELISA MARIA DA SILVA PAZ;443.872;2827;6.37;96.5;0.528;74.07;28086134.47;25128688.94;10364.07
Oeiras;2207009;oeirense;JOSE RAIMUNDO DE SÁ LOPES;2703.138;38161;14.12;97.9;0.634;17.58;164283499.11;157688256.9;15735.17
Olho D'Água do Piauí;2207108;olho d’aguense;ANTONIO LEAL DA SILVA;183.603;2637;14.36;96.7;0.576;;16549309.45;15078724.78;11599.13
Padre Marcos;2207207;padremarcoense;JOSÉ VALDINAR DA SILVA;278.696;6382;22.9;99.5;0.541;25.64;40577373.77;37446341.29;10744.13
Paes Landim;2207306;paeslandinense;THALLES MOURA FÉ MARQUES;401.378;4088;10.18;98.5;0.575;20.41;30668647.02;27332238.93;10729.66
